year,age,sex,qx_annual
2015,0,F,0.003291
2015,1,F,0.000235
2015,2,F,0.000119
2015,3,F,0.000136
2015,4,F,8.3e-05
2015,5,F,6.9e-05
2015,6,F,8.2e-05
2015,7,F,6.7e-05
2015,8,F,6.4e-05
2015,9,F,6.1e-05
2015,10,F,7e-05
2015,11,F,5.7e-05
2015,12,F,8e-05
2015,13,F,8.2e-05
2015,14,F,0.000103
2015,15,F,0.000146
2015,16,F,0.000157
2015,17,F,0.000125
2015,18,F,0.000214
2015,19,F,0.000188
2015,20,F,0.000227
2015,21,F,0.000221
2015,22,F,0.000178
2015,23,F,0.000221
2015,24,F,0.000235
2015,25,F,0.000245
2015,26,F,0.000211
2015,27,F,0.000241
2015,28,F,0.000239
2015,29,F,0.000311
2015,30,F,0.000266
2015,31,F,0.000368
2015,32,F,0.000337
2015,33,F,0.00037
2015,34,F,0.000367
2015,35,F,0.0004
2015,36,F,0.000543
2015,37,F,0.000538
2015,38,F,0.000629
2015,39,F,0.000656
2015,40,F,0.00074
2015,41,F,0.000819
2015,42,F,0.00087
2015,43,F,0.001092
2015,44,F,0.001114
2015,45,F,0.001264
2015,46,F,0.001406
2015,47,F,0.001604
2015,48,F,0.001826
2015,49,F,0.001752
2015,50,F,0.00214
2015,51,F,0.002352
2015,52,F,0.002317
2015,53,F,0.00268
2015,54,F,0.002952
2015,55,F,0.003138
2015,56,F,0.003358
2015,57,F,0.003624
2015,58,F,0.003775
2015,59,F,0.004189
2015,60,F,0.004367
2015,61,F,0.004616
2015,62,F,0.004861
2015,63,F,0.005382
2015,64,F,0.005633
2015,65,F,0.006159
2015,66,F,0.006339
2015,67,F,0.006794
2015,68,F,0.007392
2015,69,F,0.008179
2015,70,F,0.008898
2015,71,F,0.009979
2015,72,F,0.010785
2015,73,F,0.011991
2015,74,F,0.012999
2015,75,F,0.014888
2015,76,F,0.016984
2015,77,F,0.018338
2015,78,F,0.020457
2015,79,F,0.023528
2015,80,F,0.027331
2015,81,F,0.033157
2015,82,F,0.037946
2015,83,F,0.043658
2015,84,F,0.050739
2015,85,F,0.05824
2015,86,F,0.068491
2015,87,F,0.079018
2015,88,F,0.090672
2015,89,F,0.105997
2015,90,F,0.122528
2015,91,F,0.139951
2015,92,F,0.156093
2015,93,F,0.182361
2015,94,F,0.206164
2015,95,F,0.228087
2015,96,F,0.251741
2015,97,F,0.282725
2015,98,F,0.319317
2015,99,F,0.35049
2015,00,F,0.397326
2015,01,F,0.424885
2015,02,F,0.480254
2015,03,F,0.581459
2015,04,F,0.618352
2015,05,F,0.619649
2015,06,F,0.633231
2015,07,F,0.675949
2015,08,F,0.708742
2015,09,F,0.751466
2015,10+,F,0.833836
2016,0,F,0.00324
2016,1,F,0.000265
2016,2,F,0.000144
2016,3,F,0.0001
2016,4,F,8.7e-05
2016,5,F,9.2e-05
2016,6,F,6.1e-05
2016,7,F,5.7e-05
2016,8,F,6.1e-05
2016,9,F,5.6e-05
2016,10,F,6.9e-05
2016,11,F,7.2e-05
2016,12,F,6.3e-05
2016,13,F,6e-05
2016,14,F,0.000113
2016,15,F,0.000128
2016,16,F,0.000115
2016,17,F,0.000127
2016,18,F,0.000156
2016,19,F,0.000198
2016,20,F,0.000215
2016,21,F,0.000187
2016,22,F,0.000232
2016,23,F,0.000272
2016,24,F,0.000209
2016,25,F,0.000227
2016,26,F,0.000263
2016,27,F,0.000254
2016,28,F,0.000267
2016,29,F,0.000353
2016,30,F,0.000299
2016,31,F,0.000332
2016,32,F,0.000369
2016,33,F,0.0004
2016,34,F,0.00041
2016,35,F,0.000402
2016,36,F,0.000484
2016,37,F,0.00051
2016,38,F,0.000566
2016,39,F,0.000686
2016,40,F,0.000701
2016,41,F,0.000686
2016,42,F,0.000815
2016,43,F,0.001021
2016,44,F,0.001124
2016,45,F,0.001303
2016,46,F,0.001337
2016,47,F,0.001608
2016,48,F,0.001694
2016,49,F,0.001896
2016,50,F,0.002036
2016,51,F,0.002043
2016,52,F,0.002327
2016,53,F,0.002484
2016,54,F,0.002712
2016,55,F,0.002999
2016,56,F,0.003252
2016,57,F,0.003729
2016,58,F,0.003879
2016,59,F,0.00422
2016,60,F,0.004599
2016,61,F,0.004776
2016,62,F,0.004989
2016,63,F,0.005382
2016,64,F,0.00582
2016,65,F,0.006299
2016,66,F,0.006621
2016,67,F,0.006941
2016,68,F,0.007112
2016,69,F,0.008047
2016,70,F,0.008744
2016,71,F,0.009821
2016,72,F,0.010978
2016,73,F,0.011628
2016,74,F,0.012882
2016,75,F,0.014059
2016,76,F,0.015662
2016,77,F,0.018059
2016,78,F,0.020885
2016,79,F,0.023394
2016,80,F,0.026997
2016,81,F,0.030894
2016,82,F,0.036044
2016,83,F,0.043185
2016,84,F,0.049523
2016,85,F,0.05781
2016,86,F,0.066657
2016,87,F,0.075734
2016,88,F,0.087629
2016,89,F,0.102507
2016,90,F,0.118188
2016,91,F,0.134914
2016,92,F,0.15335
2016,93,F,0.17328
2016,94,F,0.198025
2016,95,F,0.225151
2016,96,F,0.248468
2016,97,F,0.275192
2016,98,F,0.307669
2016,99,F,0.32579
2016,00,F,0.37375
2016,01,F,0.415468
2016,02,F,0.448668
2016,03,F,0.522865
2016,04,F,0.704725
2016,05,F,0.669824
2016,06,F,0.714443
2016,07,F,0.771526
2016,08,F,0.83719
2016,09,F,0.890757
2016,10+,F,1.034905
2017,0,F,0.003491
2017,1,F,0.00026
2017,2,F,0.000111
2017,3,F,0.000113
2017,4,F,9.1e-05
2017,5,F,6.8e-05
2017,6,F,5.6e-05
2017,7,F,6.1e-05
2017,8,F,2.8e-05
2017,9,F,6.1e-05
2017,10,F,4.8e-05
2017,11,F,7.9e-05
2017,12,F,7.2e-05
2017,13,F,8.6e-05
2017,14,F,7.5e-05
2017,15,F,9.5e-05
2017,16,F,0.000123
2017,17,F,0.000131
2017,18,F,0.000208
2017,19,F,0.000182
2017,20,F,0.000195
2017,21,F,0.000228
2017,22,F,0.000203
2017,23,F,0.000198
2017,24,F,0.000202
2017,25,F,0.000261
2017,26,F,0.000192
2017,27,F,0.00022
2017,28,F,0.000234
2017,29,F,0.00032
2017,30,F,0.000279
2017,31,F,0.000328
2017,32,F,0.000292
2017,33,F,0.000358
2017,34,F,0.000416
2017,35,F,0.000452
2017,36,F,0.000449
2017,37,F,0.000564
2017,38,F,0.00064
2017,39,F,0.000625
2017,40,F,0.000682
2017,41,F,0.000771
2017,42,F,0.000866
2017,43,F,0.000989
2017,44,F,0.001037
2017,45,F,0.001231
2017,46,F,0.001331
2017,47,F,0.001512
2017,48,F,0.001705
2017,49,F,0.001742
2017,50,F,0.002026
2017,51,F,0.00224
2017,52,F,0.002392
2017,53,F,0.002561
2017,54,F,0.002842
2017,55,F,0.00307
2017,56,F,0.003336
2017,57,F,0.003693
2017,58,F,0.003809
2017,59,F,0.004228
2017,60,F,0.004615
2017,61,F,0.004816
2017,62,F,0.005266
2017,63,F,0.00538
2017,64,F,0.005777
2017,65,F,0.006136
2017,66,F,0.006616
2017,67,F,0.006959
2017,68,F,0.007555
2017,69,F,0.008227
2017,70,F,0.00905
2017,71,F,0.009611
2017,72,F,0.011009
2017,73,F,0.011783
2017,74,F,0.0128
2017,75,F,0.014214
2017,76,F,0.016063
2017,77,F,0.018285
2017,78,F,0.020446
2017,79,F,0.02282
2017,80,F,0.026462
2017,81,F,0.030464
2017,82,F,0.035507
2017,83,F,0.041246
2017,84,F,0.049062
2017,85,F,0.056829
2017,86,F,0.06677
2017,87,F,0.077946
2017,88,F,0.088845
2017,89,F,0.103138
2017,90,F,0.12039
2017,91,F,0.136765
2017,92,F,0.156252
2017,93,F,0.179014
2017,94,F,0.203441
2017,95,F,0.227098
2017,96,F,0.258032
2017,97,F,0.272413
2017,98,F,0.320362
2017,99,F,0.33487
2017,00,F,0.364647
2017,01,F,0.397592
2017,02,F,0.459833
2017,03,F,0.488948
2017,04,F,0.613622
2017,05,F,0.804126
2017,06,F,0.905014
2017,07,F,1.032785
2017,08,F,1.153145
2017,09,F,1.303616
2017,10+,F,1.638947
2018,0,F,0.003438
2018,1,F,0.000224
2018,2,F,0.000139
2018,3,F,0.000124
2018,4,F,9.1e-05
2018,5,F,7.4e-05
2018,6,F,9.4e-05
2018,7,F,5.3e-05
2018,8,F,6.8e-05
2018,9,F,5.9e-05
2018,10,F,8.4e-05
2018,11,F,3.8e-05
2018,12,F,6.4e-05
2018,13,F,8e-05
2018,14,F,7e-05
2018,15,F,0.000105
2018,16,F,0.000135
2018,17,F,0.000113
2018,18,F,0.000181
2018,19,F,0.000171
2018,20,F,0.000176
2018,21,F,0.000221
2018,22,F,0.000194
2018,23,F,0.000193
2018,24,F,0.000193
2018,25,F,0.000261
2018,26,F,0.000233
2018,27,F,0.00021
2018,28,F,0.000283
2018,29,F,0.000327
2018,30,F,0.000254
2018,31,F,0.000299
2018,32,F,0.000357
2018,33,F,0.00038
2018,34,F,0.000405
2018,35,F,0.000438
2018,36,F,0.000496
2018,37,F,0.000561
2018,38,F,0.000536
2018,39,F,0.000603
2018,40,F,0.000726
2018,41,F,0.000834
2018,42,F,0.000878
2018,43,F,0.00106
2018,44,F,0.001187
2018,45,F,0.001202
2018,46,F,0.001342
2018,47,F,0.001404
2018,48,F,0.001626
2018,49,F,0.00191
2018,50,F,0.001994
2018,51,F,0.002225
2018,52,F,0.002251
2018,53,F,0.002593
2018,54,F,0.002748
2018,55,F,0.003003
2018,56,F,0.00352
2018,57,F,0.003686
2018,58,F,0.003692
2018,59,F,0.004207
2018,60,F,0.004486
2018,61,F,0.004649
2018,62,F,0.005111
2018,63,F,0.005421
2018,64,F,0.005744
2018,65,F,0.006232
2018,66,F,0.006732
2018,67,F,0.007133
2018,68,F,0.007674
2018,69,F,0.007955
2018,70,F,0.008808
2018,71,F,0.00965
2018,72,F,0.010462
2018,73,F,0.011398
2018,74,F,0.013154
2018,75,F,0.014232
2018,76,F,0.015678
2018,77,F,0.017861
2018,78,F,0.019888
2018,79,F,0.022988
2018,80,F,0.02608
2018,81,F,0.030384
2018,82,F,0.034022
2018,83,F,0.039759
2018,84,F,0.047245
2018,85,F,0.056263
2018,86,F,0.065343
2018,87,F,0.075976
2018,88,F,0.086318
2018,89,F,0.101107
2018,90,F,0.116434
2018,91,F,0.133124
2018,92,F,0.149489
2018,93,F,0.17256
2018,94,F,0.197219
2018,95,F,0.222362
2018,96,F,0.255522
2018,97,F,0.280611
2018,98,F,0.306448
2018,99,F,0.337053
2018,00,F,0.376917
2018,01,F,0.402368
2018,02,F,0.414799
2018,03,F,0.487878
2018,04,F,0.574181
2018,05,F,1.280809
2018,06,F,0.776647
2018,07,F,0.822961
2018,08,F,0.890782
2018,09,F,0.946396
2018,10+,F,1.146437
2019,0,F,0.003319
2019,1,F,0.000217
2019,2,F,0.00016
2019,3,F,9.6e-05
2019,4,F,7.6e-05
2019,5,F,7.9e-05
2019,6,F,7.6e-05
2019,7,F,4.7e-05
2019,8,F,4.1e-05
2019,9,F,8.3e-05
2019,10,F,4.1e-05
2019,11,F,4.6e-05
2019,12,F,7e-05
2019,13,F,0.000107
2019,14,F,8.2e-05
2019,15,F,0.000127
2019,16,F,0.000131
2019,17,F,0.000136
2019,18,F,0.00022
2019,19,F,0.000125
2019,20,F,0.000182
2019,21,F,0.000199
2019,22,F,0.000209
2019,23,F,0.000215
2019,24,F,0.000184
2019,25,F,0.000178
2019,26,F,0.000218
2019,27,F,0.000272
2019,28,F,0.000277
2019,29,F,0.000268
2019,30,F,0.000352
2019,31,F,0.000289
2019,32,F,0.000319
2019,33,F,0.000347
2019,34,F,0.000423
2019,35,F,0.00048
2019,36,F,0.00047
2019,37,F,0.000582
2019,38,F,0.000608
2019,39,F,0.000654
2019,40,F,0.00068
2019,41,F,0.000823
2019,42,F,0.0008
2019,43,F,0.000912
2019,44,F,0.00101
2019,45,F,0.001144
2019,46,F,0.00132
2019,47,F,0.001514
2019,48,F,0.001565
2019,49,F,0.001795
2019,50,F,0.001961
2019,51,F,0.00227
2019,52,F,0.002441
2019,53,F,0.002516
2019,54,F,0.002666
2019,55,F,0.002971
2019,56,F,0.003079
2019,57,F,0.003355
2019,58,F,0.003809
2019,59,F,0.00407
2019,60,F,0.004458
2019,61,F,0.00485
2019,62,F,0.005038
2019,63,F,0.005319
2019,64,F,0.005812
2019,65,F,0.006163
2019,66,F,0.006386
2019,67,F,0.00721
2019,68,F,0.007656
2019,69,F,0.008147
2019,70,F,0.008656
2019,71,F,0.009716
2019,72,F,0.010581
2019,73,F,0.01146
2019,74,F,0.012871
2019,75,F,0.014543
2019,76,F,0.01529
2019,77,F,0.0178
2019,78,F,0.019677
2019,79,F,0.021966
2019,80,F,0.026328
2019,81,F,0.029876
2019,82,F,0.033992
2019,83,F,0.039671
2019,84,F,0.046059
2019,85,F,0.053732
2019,86,F,0.063321
2019,87,F,0.074576
2019,88,F,0.086629
2019,89,F,0.099422
2019,90,F,0.112539
2019,91,F,0.131538
2019,92,F,0.148883
2019,93,F,0.171906
2019,94,F,0.196302
2019,95,F,0.219753
2019,96,F,0.248276
2019,97,F,0.275149
2019,98,F,0.301958
2019,99,F,0.335846
2019,00,F,0.375504
2019,01,F,0.403744
2019,02,F,0.426903
2019,03,F,0.440031
2019,04,F,0.481876
2019,05,F,1.299163
2019,06,F,0.73359
2019,07,F,0.727892
2019,08,F,0.70083
2019,09,F,0.699711
2019,10+,F,0.711486
2015,0,M,0.003989
2015,1,M,0.000288
2015,2,M,0.000191
2015,3,M,0.000157
2015,4,M,0.000112
2015,5,M,9.1e-05
2015,6,M,8.8e-05
2015,7,M,9e-05
2015,8,M,0.000107
2015,9,M,8.1e-05
2015,10,M,5.7e-05
2015,11,M,9.2e-05
2015,12,M,9.7e-05
2015,13,M,0.00014
2015,14,M,0.000153
2015,15,M,0.000223
2015,16,M,0.000291
2015,17,M,0.000309
2015,18,M,0.000434
2015,19,M,0.000525
2015,20,M,0.000529
2015,21,M,0.000657
2015,22,M,0.000523
2015,23,M,0.000596
2015,24,M,0.000644
2015,25,M,0.000637
2015,26,M,0.000707
2015,27,M,0.000696
2015,28,M,0.000746
2015,29,M,0.000827
2015,30,M,0.000803
2015,31,M,0.000951
2015,32,M,0.000818
2015,33,M,0.00088
2015,34,M,0.001055
2015,35,M,0.001051
2015,36,M,0.00112
2015,37,M,0.001207
2015,38,M,0.001239
2015,39,M,0.001374
2015,40,M,0.001498
2015,41,M,0.001721
2015,42,M,0.001707
2015,43,M,0.002108
2015,44,M,0.002278
2015,45,M,0.002629
2015,46,M,0.002739
2015,47,M,0.003145
2015,48,M,0.003204
2015,49,M,0.00362
2015,50,M,0.00391
2015,51,M,0.004239
2015,52,M,0.004778
2015,53,M,0.005118
2015,54,M,0.005937
2015,55,M,0.006625
2015,56,M,0.007249
2015,57,M,0.008001
2015,58,M,0.008579
2015,59,M,0.009201
2015,60,M,0.010119
2015,61,M,0.010665
2015,62,M,0.011443
2015,63,M,0.012185
2015,64,M,0.012842
2015,65,M,0.01367
2015,66,M,0.014495
2015,67,M,0.015022
2015,68,M,0.016527
2015,69,M,0.017237
2015,70,M,0.019351
2015,71,M,0.020425
2015,72,M,0.022017
2015,73,M,0.023511
2015,74,M,0.026523
2015,75,M,0.028034
2015,76,M,0.031386
2015,77,M,0.034587
2015,78,M,0.038977
2015,79,M,0.043888
2015,80,M,0.049666
2015,81,M,0.056216
2015,82,M,0.064219
2015,83,M,0.073401
2015,84,M,0.082858
2015,85,M,0.094183
2015,86,M,0.10709
2015,87,M,0.119469
2015,88,M,0.13711
2015,89,M,0.155274
2015,90,M,0.174779
2015,91,M,0.198586
2015,92,M,0.219515
2015,93,M,0.246261
2015,94,M,0.272844
2015,95,M,0.294758
2015,96,M,0.337157
2015,97,M,0.360249
2015,98,M,0.40033
2015,99,M,0.445626
2015,00,M,0.463257
2015,01,M,0.530612
2015,02,M,0.605415
2015,03,M,0.646207
2015,04,M,0.59959
2015,05,M,0.777613
2015,06,M,0.720507
2015,07,M,0.775017
2015,08,M,0.840542
2015,09,M,0.958799
2015,10+,M,1.55946
2016,0,M,0.003975
2016,1,M,0.000212
2016,2,M,0.000211
2016,3,M,0.000151
2016,4,M,0.000108
2016,5,M,0.000109
2016,6,M,0.000112
2016,7,M,7.8e-05
2016,8,M,5.8e-05
2016,9,M,6.5e-05
2016,10,M,8.8e-05
2016,11,M,6.6e-05
2016,12,M,7.2e-05
2016,13,M,0.000109
2016,14,M,0.00013
2016,15,M,0.000179
2016,16,M,0.000188
2016,17,M,0.000318
2016,18,M,0.000442
2016,19,M,0.000515
2016,20,M,0.000508
2016,21,M,0.000542
2016,22,M,0.000573
2016,23,M,0.00061
2016,24,M,0.000599
2016,25,M,0.000637
2016,26,M,0.000728
2016,27,M,0.000723
2016,28,M,0.000722
2016,29,M,0.000684
2016,30,M,0.000714
2016,31,M,0.000818
2016,32,M,0.000827
2016,33,M,0.0009
2016,34,M,0.000956
2016,35,M,0.001014
2016,36,M,0.000997
2016,37,M,0.001238
2016,38,M,0.001243
2016,39,M,0.001345
2016,40,M,0.001386
2016,41,M,0.001599
2016,42,M,0.001831
2016,43,M,0.001991
2016,44,M,0.00208
2016,45,M,0.002299
2016,46,M,0.00256
2016,47,M,0.002946
2016,48,M,0.003161
2016,49,M,0.003582
2016,50,M,0.003877
2016,51,M,0.004176
2016,52,M,0.004361
2016,53,M,0.005073
2016,54,M,0.005698
2016,55,M,0.006194
2016,56,M,0.007174
2016,57,M,0.007715
2016,58,M,0.008318
2016,59,M,0.009006
2016,60,M,0.009949
2016,61,M,0.010703
2016,62,M,0.011689
2016,63,M,0.012371
2016,64,M,0.012744
2016,65,M,0.013595
2016,66,M,0.014328
2016,67,M,0.014974
2016,68,M,0.016144
2016,69,M,0.017588
2016,70,M,0.019113
2016,71,M,0.020078
2016,72,M,0.021574
2016,73,M,0.023718
2016,74,M,0.025273
2016,75,M,0.028335
2016,76,M,0.030022
2016,77,M,0.033867
2016,78,M,0.037827
2016,79,M,0.042102
2016,80,M,0.046566
2016,81,M,0.053887
2016,82,M,0.060795
2016,83,M,0.069995
2016,84,M,0.08066
2016,85,M,0.090578
2016,86,M,0.1024
2016,87,M,0.118252
2016,88,M,0.132437
2016,89,M,0.149502
2016,90,M,0.172299
2016,91,M,0.183244
2016,92,M,0.218052
2016,93,M,0.245598
2016,94,M,0.268609
2016,95,M,0.296268
2016,96,M,0.333966
2016,97,M,0.368131
2016,98,M,0.405835
2016,99,M,0.47607
2016,00,M,0.500196
2016,01,M,0.548573
2016,02,M,0.560263
2016,03,M,0.741286
2016,04,M,0.791546
2016,05,M,0.945183
2016,06,M,0.938667
2016,07,M,1.014033
2016,08,M,1.150257
2016,09,M,1.371172
2016,10+,M,2.298106
2017,0,M,0.004049
2017,1,M,0.000284
2017,2,M,0.000168
2017,3,M,0.000124
2017,4,M,8.4e-05
2017,5,M,0.000108
2017,6,M,9.6e-05
2017,7,M,8.7e-05
2017,8,M,8.3e-05
2017,9,M,2.7e-05
2017,10,M,8.5e-05
2017,11,M,8e-05
2017,12,M,7.9e-05
2017,13,M,8.5e-05
2017,14,M,0.000148
2017,15,M,0.000187
2017,16,M,0.000244
2017,17,M,0.000293
2017,18,M,0.00037
2017,19,M,0.000404
2017,20,M,0.000577
2017,21,M,0.000607
2017,22,M,0.000604
2017,23,M,0.000625
2017,24,M,0.000582
2017,25,M,0.000619
2017,26,M,0.000684
2017,27,M,0.000671
2017,28,M,0.000745
2017,29,M,0.000708
2017,30,M,0.000717
2017,31,M,0.000803
2017,32,M,0.000931
2017,33,M,0.000867
2017,34,M,0.000886
2017,35,M,0.001036
2017,36,M,0.001109
2017,37,M,0.001123
2017,38,M,0.001123
2017,39,M,0.001291
2017,40,M,0.001441
2017,41,M,0.001523
2017,42,M,0.001778
2017,43,M,0.001981
2017,44,M,0.001977
2017,45,M,0.002253
2017,46,M,0.002582
2017,47,M,0.002764
2017,48,M,0.003062
2017,49,M,0.003482
2017,50,M,0.003728
2017,51,M,0.004128
2017,52,M,0.004523
2017,53,M,0.00515
2017,54,M,0.005287
